gender,ug_degree,ug_specialization,interests,skills,cgpa,has_certification,certification_details,is_working,job_title,masters_field,cgpa_normalized
Male,B.TECH,Mechanical Engineering,Technology;All fields related to Data science.;Industires;Information Technology,"Proeficiency in Software like STAAD PRO, ETABS;CAD/CAE(autocad/catia/ansys/proE/SeimensNX)",73.15,1,ANSYS,1,Mechanical Design Engineer,None,73.15
Male,B.COM,Accountancy,Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Data analytics;Govt. Job;Game industry;Digital marketing,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Sales;Interpersonal skills;Wealth Management,80.0,0,No,1,Finance Manager,M. Com,80.0
Male,BCA,C Language,Technology;Service,Programming Language skills;Communication skills;Writing skills;Machine Learning skills;Sales;C++;R,76.95,0,No,0,Unemployed/Student,None,76.95
Male,BCA,"C,C++, Java",Teaching,Active Listening;Teaching,69.0,0,No,1,Teacher,MCA,69.0
Male,B.TECH,Civil Engineering,Market reserach,Business Knowledge;Civil & Criminal Law;Product knowledge,74.955,0,No,1,National Head,None,74.955
Male,B.TECH,Mechanical Engineering,Design,Critical Thinking;Problem Solving skills;Designing skills;Interpersonal skills;Python,73.15,1,"CATIA,AUTOCAD,PRO E",1,Field Engineer,None,73.15
Male,BBA,Management,Financial Analysis,Strategic Planning;Financial Analysis;Financial Modeling;Marketing Strategy;Financial Services,73.625,1,"Equity Derivatives;Advanced Financial Statements Analysis;
Financial Modelling;
Integrated Mangement and Safety;
Pricing and Valuation of Fixed Income Instruments",1,Investment Banking Associate,None,73.625
Male,BE,Automobile Engineering,"Financial Analysis, Sales/Marketing, Technology, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Market Study, Team work, Interpersonal Skills, Presentation Skills, Designing Skills, Sales, Design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",84.55,1,"Six Sigma, digital marketing.",1,Sales Executive,Masters in Business Administration,84.55
Female,BE,Electronics And Communication Engineering,Embedded design,"Creativity Skills, Excel, Logical Skills, Observation Skills, Risk Managing, Designing Skills, Vlsi design,simulation,embedded,IOT",81.795,1,"JAVA,Embedded and IOT",1,Vlsi Digital Design,ME in VLSI design,81.795
Male,B.TECH,Computer Science Engineering,Research,"Python, Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Negotiation Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++",75.05,0,No,1,Production Manager,MRes in Printed Electronics,75.05
Male,BE,Electronics And Communication Engineering,Technology,NO,66.5,0,No,1,Software Developer,None,66.5
Male,B.COM,Sales And Marketing,Sales/Marketing,Active Listening;Business Knowledge;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Sales;Interpersonal skills,55.0,0,No,1,Life Insurance,Masters in marketing and HR,55.0
Female,B.COM,Economics,Sales/Marketing,Business Knowledge,85.0,0,No,0,Unemployed/Student,M.Com,85.0
Male,B.TECH,Computer Science Engineering,Software Job,NO,76.0,0,No,1,Developer,None,76.0
Male,B.TECH,Computer Science Engineering,Financial Analysis;Technology;Trading;Data analytics,Business Knowledge;Analytical Skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,76.475,0,No,1,Full Stack Developer,None,76.475
Male,BE,Mechanical Engineering,Trading,Active Listening;Business Knowledge;Risk management skills;Sales;Good communication skills,63.0,0,No,1,Unemployed/Student,None,63.0
Male,B.TECH,Computer Science And Business System,Financial Analysis;Technology;Web Designing;Web development;Social causes,Accounting Skills;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Problem Solving skills;C++;Python;SQL,87.59,1,Cpp with ds,0,Unemployed/Student,None,87.59
Female,B.PHARMACY,Pharmacy,Research,"Active Listening, Creativity Skills, Team work, Logical Skills",72.0,0,No,1,Process Analyst,Masters in Pharmacy,72.0
Female,B.COM,Commerce,Financial Analysis,"Accounting Skills, Cost Accounting",51.3,1,Tax and law,0,Housewife,None,51.3
Female,B.SC,Interior Design,Home interior design,Programming Language skills;People management;Mass Communication;Leadership;Designing skills;Writing skills;Architecture,74.0,0,No,1,Junior Interior Designer,None,74.0
Male,B.COM,Commerce,Take risk for Profits,"Business Knowledge, Product Knowledge, Team work, Sales",57.0,0,No,1,Tele-Caller,Masters in Computer Applications,57.0
Female,B.TECH,Information Technology,Entrepreneurship,"Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing",65.55,1,Digital marketing ,1,Hr,Masters in Business Administration,65.55
Male,B.SC,Chemistry,Government jobs,Sports,74.1,1,No,0,Pc,Msc,74.1
Male,BCA,Computer Applications,Technology,"AI, ML, Python, Java, SQL, Tableau",76.0,1,Udemy,0,Unemployed/Student,Masters in Computer Applications,76.0
Male,BE,Automobile Engineering,"Research, Take risk for Profits, Understand Human Behaviour","Critical Thinking, Analytic Thinking, Product Knowledge, Team work, Excel, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills",76.0,0,No,1,Design Engineer,None,76.0
Male,B.TECH,Electrical And Electronics Engineering,"Information Technology,Blockchain",Docker;Kubernetes;Amazon Web Services (AWS);Bash;Apache; New Relic APM;Jenkins;Internet Information Services (IIS);Terraform;AKS;Continuous Integration and Continuous Delivery (CI/CD);Amazon EC2,74.67,1,Creating Routing Policies to Handle Website Traffic Using AWS Route53;Kubernetes,1,Devops Engineer,None,74.67
Male,B.TECH,Computer Science Engineering,Software Job,"Full stack, java, python, reactjs",74.1,1,"Full stack, java, python, reactjs",1,Software Developer,None,74.1
Male,BE,Mechanical Engineering,Supply Chain Analysis;Data scientist;Machine Learning;Excel,Active Listening;Analytical Skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Machine Learning skills;Python,88.35,1,Data science,1,Production Engineer,None,88.35
Male,B.TECH,Computer Science Engineering,Software Job,"Web development (PHP, codeigniter), java development, graphic desiging, Android app development",73.15,1,"Web development (PHP, codeigniter), java development, graphic desiging, Android app development",1,Software Engineer 1,None,73.15
Male,B.TECH,Mechanical Engineering,Trading;Data analytics;Govt. Job;Data scientist,Data Visualization skills( Power Bi/ Tableau );Python;SQL,78.185,0,No,0,Unemployed/Student,None,78.185
Male,B.COM,Commerce,Financial Analysis,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Social Media Marketing,63.0,1,Global and digital marketing ,1,Sales Manager,MBA,63.0
Male,B.SC,Physics,Technology,"Accounting Skills, Active Listening, AI, Python, Critical Thinking, Programming, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Observation Skills, Risk Managing, Reading",68.685,1,QA QC in Plasic Products and Materials,0,Unemployed/Student,None,68.685
Male,B.TECH,Mechanical Engineering,Technology;Industires,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),74.1,1,catia,1,Mechanical Design Engineer,None,74.1
Male,M.TECH,Electronics And Communication Engineering,Research;Sales/Marketing;Teaching;Technology;Web Designing;Content Writing;Data analytics;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Gardening;Service;Design;Information Technology;Machine Learning;Excel,Programming Language skills;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Machine Learning skills;Sales;Social Media Marketing;R;Python;Artificial Intelligence;SQL;Architecture;MATLAB;Good communication skills;Teaching;AWS;PHP;Programming Language C;Javascript,87.0,1,DDIP,1,Junior Software Engineer,Masters in Digital Electronics,87.0
Female,B.SC,Statistics,Data analytics,Critical Thinking;Analytical Skills;Leadership;Problem Solving skills;Machine Learning skills;Python,69.35,1,Data science using R and Python ,0,Unemployed/Student,Statistics,69.35
Female,B.TECH,Computer Science Engineering,IT field,"Python, Java, SQL, Programming, Problem Solving skills",69.0,0,No,1,Mapping,None,69.0
Female,B.SC,Information Technalogy,"Research, Technology","Active Listening, AI, ML, Python, Analytic Thinking, Editing, Creativity Skills, Team work, C++, Problem Solving skills, Mass Communication",89.87,1,"C, C++",0,Unemployed/Student,None,89.87
Male,B.COM,Commerce,Blockchain,Artistic/Creative Skills,60.0,0,No,1,Unemployed/Student,None,60.0
Male,BE,Industrial Engineering,Financial Analysis;Research;Trading;Understand human behaviour;Understand human body;Data analytics;Data scientist;Gardening,Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL,72.0,0,No,1,Functional Consultant,None,72.0
Male,B.TECH,Mechanical Engineering,Technology;Supply Chain Analysis,Business Knowledge;Negotiation skills;Product knowledge;Sales,60.8,1,"SAP SCM,  supply chain management",1,Associate Scm,None,60.8
Male,DIPLOMA,High Pressure Die Casting,Technology,Designing skills,70.0,1,Catia,1,Engineer,None,70.0
Male,B.COM,Accounting&Finance,Financial Analysis,Company Law;Company Secretarial Work;Due Diligence;Corporate Law;industrial and labour law;company law;Corporate Social Responsibility;Public Company Compliance;Statutory Compliances;Regulatory Compliance,83.03,1,No,1,Company Secretary,"Company Secretary Professional(
(The Institute of Company Secretaries of India)",83.03
Male,B.TECH,Computer Science Engineering,Research;Technology;Data analytics;Design,Active Listening;Programming Language skills;Communication skills;Client management;Good communication skills,68.02,0,No,1,Programmer Analyst Trainee (Pat),None,68.02
Female,B.TECH,Computer Science Engineering,Teaching;Technology;Web Designing,Active Listening;Programming Language skills;Gathering Information;Mass Communication;Content creation,68.4,1,MBA,1,Programmer,MBA,68.4
Male,B.E,Information Technology,"Technology, Understand Human Behaviour, Understand Human Body","Analytic Thinking, Gathering Informing, SQL, Risk Managing",76.0,0,No,1,Risk Analyst,Masters in Business Analytics,76.0
Female,B.SC,Computer Science,Technology;Data analytics;Data scientist;All fields related to Data science.,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL,66.5,1,Data Science,0,Unemployed/Student,Masters in Computer Science,66.5
Male,B.SC,Computer Science,Digital marketing;Market reserach,Business Knowledge;Analytical Skills;People management;Communication skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;SQL;Hospitality;HR;Excel,75.0,0,No,0,Unemployed/Student,None,75.0
Male,B.TECH,Mathematics,"Teaching, Technology","Analytic Thinking, Logical Skills, C++, Writing",71.25,0,No,0,Unemployed/Student,Masters in Mathematics,71.25
Female,BCA,Computer Applications,Technology,Active Listening;Negotiation skills,71.25,0,No,1,Data Entry,None,71.25
Male,B.TECH,Information Technology,Technology,"Java, SQL, Programming",76.0,0,No,0,Unemployed/Student,None,76.0
Male,B.TECH,Electrical And Electronics Engineering,Software Job,stack web development,78.85,1,stack web development,1,Associate Software Engineer,None,78.85
Male,BE,Electrical And Electronics Engineering,All fields related to Data science.;Machine Learning;Sports Industry,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Python;SQL,73.53,1,"IBM machine Learning, Full Stack Development, AMCAT corporate communications",1,Data Scientist-Intern,PGDM in Data Science,73.53
Male,B.TECH,Computer Science Engineering,Data scientist;Machine Learning,Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java,73.625,1,Power BI,1,Data Analyst,None,73.625
Male,B.COM,Accounting(Business And Management),Financial Analysis;Research;Sales/Marketing;Digital marketing,Critical Thinking;Business Knowledge;Communication skills;Negotiation skills;Artificial Intelligence,85.69,0,No,0,Unemployed/Student,None,85.69
Male,MBA,Sales And Marketing,Sales/Marketing,Business Knowledge;People management;Communication skills;Product knowledge;Sales;Social Media Marketing,72.0,0,No,1,Regional Sales Manager,Masters in Business Administration,72.0
Male,B.TECH,Civil Engineering,"Product Life cycle Management,",Agile Methodologies;Usability Testing;C++;Microsoft OfficeBentley InRoadsProduct Requirements;User Stories;Metrics;Product Management;Product Innovation;User Experience (UX);Research;Business Development;Digital Marketing;,72.675,1,Digital Marketing,1,Product Manager,None,72.675
Male,B.TECH,Electrical And Electronics Engineering,Technology,Power Electronics;Simulink;Inverters;Matlab;PLC;Variable Frequency Drives;Switchgear;Industrial Control,79.8,1,Simulation and analysis of control algorithms for IGBT converters/inverters,1,Engineer-Power Electronics,Masters in Power Electronics & Power Systems,79.8
Female,B.SC,Computer Science,Technology;Data analytics,Programming Language skills;People management;Communication skills;Editing;C++;SQL,78.0,1,"C++, c sharp, fundamentals of project management",1,Publishing Executive,Master in computer science,78.0
Male,B.TECH,Computer Science Engineering,Web development,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information,71.0,0,No,1,Software Engineer,None,71.0
Male,B.TECH,Computer Science Engineering,Technology;Supply chain analysis,Analytical Skills;Machine Learning skills;Python;Artificial Intelligence;SQL,85.0,1,No,1,Techno Commercial,Master in marketing management,85.0
Male,BE,Civil Engineering,Financial Analysis;Data analytics;Home interior design;All fields related to Data science.;Construction;Construction Manegement;Project Management,Gathering Information;People management;Communication skills;Problem Solving skills;Sales;Python;Javascript;construction management,68.495,0,No,0,Unemployed/Student,None,68.495
Male,LAW HONS,Statistics,Understand human behaviour,Active Listening;People management;Civil & Criminal Law;Negotiation skills;Machine Learning skills,61.4,0,No,1,Advocate,None,61.4
Male,B.TECH,Criminal Manual,"Research, Sales/Marketing, Technology, Entrepreneurship","Analytic Thinking, Product Knowledge, Team work, Logical Skills",68.4,0,No,1,Sales Executive,None,68.4
Male,B.TECH,Mechanical Engineering,Research;Technology;Supply Chain Analysis;Govt. Job,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Product knowledge;Problem Solving skills;Risk management skills;Writing skills;Social Media Marketing;Presentation Skills;Hospitality;HR;Client management,72.675,0,No,0,Unemployed/Student,None,72.675
Male,B.TECH,Electrical And Electronics Engineering,Research;Teaching;Technology;Trading,Accounting Skills;Active Listening;Communication skills;Product knowledge;Problem Solving skills,52.0,0,No,1,Electrician,None,52.0
Male,BE,Electrical And Electronics Engineering,Research;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Data scientist;Market reserach;Social media marketing;Industires,Programming Language skills;Critical Thinking;Analytical Skills;Problem Solving skills;Python;Medical knowledge;MATLAB;Teaching,62.26,0,No,0,Assistant Professor,M.Tech-Heat Power Engineering and PhD-Mechanical Engineering,62.26
Male,B.TECH,Mechanical Engineering,Market reserach;SAP Consultant in MM;Project Management,Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Risk management skills;Presentation Skills,80.75,1,PMP,1,Project Manager,None,80.75
Male,B.TECH,Electrical And Electronics Engineering,Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python;Artificial Intelligence,63.9,1,Data science using python and R programming ,1,Mechanical Design Engineer,Master in Design (Mechanical)&professional Data science,63.9
Male,B.TECH,Mechanical Engineering,"Trading,Web Designing,Content Writing,Web development,Social media marketing",C++;Hadoop;Java;SQL;Core Java;JavaScript;PL/SQL;Informatica,80.37,1,C++,1,System Engineer,Masters in Computer Science,80.37
Female,B.COM,Computer Science Engineering,Financial Analysis,Accounting Skills,91.2,0,No,0,Unemployed/Student,Masters in Accounting,91.2
Male,B.E,Accountancy,Entrepreneurship,"Active Listening, Python, Gathering Informing, Programming",88.35,1,Organic farming,1,Mechanical Engineer,Masters in Science,88.35
Female,LAW HONS,Agriculture,"Financial Analysis;Social causes;Information Technology;Agriculture, services;Excel",Accounting Skills;Finance related skills;Civil & Criminal Law;Negotiation skills;Risk management skills,67.0,1,Company Secretary,1,Cs,None,67.0
Female,B.TECH,Company Law,Data Analytics,"JavaScript,Python",73.15,1,"JavaScript,Python",1,Software Developer,None,73.15
Female,B.SC,Electrical And Electronics Engineering,Research,Subject Knowledge,52.25,1,PGDCA,0,Unemployed/Student,None,52.25
Female,B.TECH,Physics,Data Analytics,Javascript,65.55,1,Javascript,1,Associate Software Engineer,None,65.55
Female,B.TECH,Computer Science Engineering,Technology,Python,70.3,0,No,0,Unemployed/Student,None,70.3
Female,B.TECH,Computer Applications,Technology;Information Technology,Hardware skills;Programming Language skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Presentation Skills;Linux;Python;Java;Cloud Computing,71.25,0,No,1,Software Engineer,"Yes, Master's in IT, specialisation in networking and cyber security",71.25
Female,B.COM,Computer Science Engineering,Financial Analysis,Teamwork;Time Management;Company Secretarial Work;Legal Compliance;Communication;TeamLeadership;Interpersonal Skills;Presentations;Interpersonal Communication;Companies Act;Indirect Taxation,67.45,1,Companies Act;Indirect Taxation,1,Company Secretary,"Company Secretary Professional(
(The Institute of Company Secretaries of India)",67.45
Male,B.TECH,Accounting&Finance,Teaching;Technology;Data analytics;Govt. Job;Data scientist;All fields related to Data science.;Design;Machine Learning;Navy Defence related;Oil and Gas,Accounting Skills;Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Problem Solving skills;Python;Teaching,80.275,1,Professional Certification Program - Data Science and AI ,1,Operation & Maintenance Engineer,None,80.275
Male,BBA,Electrical Machines,Financial Analysis,Financial Modeling;Financial Analysis;,84.55,1,Financial Modelling,1,Financial Analyst,None,84.55
Male,B.TECH,Finance,"Research,Understand human body,BioTechnology",Microbiology; cell culture ;molecular Biology; bioprocess; Katte virus,83.22,1,"Antimicrobial Resistance - Theory and Methods ;  Cancer Metastasis; 
Fundamentals of Immunology: T Cells and Signaling;
Fundamentals of Immunology: Innate Immunity and B-Cell Function;
Drug Discovery;Drug Delivery Principles and Engineering ",1,Research Associate,None,83.22
Male,B.E,Biotechnology,Data Analytics,"Analytic Thinking, SQL, Oracle, Communication Skills, Work under Pressure, Leadership, Excel, Interpersonal Skills, Problem Solving skills, Reporting",88.16,1,Six Sigma Principles ,1,Data Analyst,None,88.16
Prefer Not To Say,B.COM,Automobile Engineering,Information Technology,Cloud Computing,47.0,1,Azure,1,Trainee Developer,None,47.0
Female,B.COM,Accountancy,Sales/Marketing,Accounting Skills,76.0,0,No,0,Unemployed/Student,Masters in Accounting,76.0
Male,B.TECH,Data Structures & Algorithm,Technology,Gathering Informing,73.15,1,No,0,Unemployed/Student,None,73.15
Female,BIOTECHNOLOGY,Biotechnology,"Research, Technology, Entrepreneurship, Understand Human Body","Active Listening, Critical Thinking, Analytic Thinking, Negotiation Skills, Presentation Skills, Problem Solving skills, Writing, Observation Skills, Subject Knowledge",87.0,0,No,0,Unemployed/Student,Masters in Biotechnology,87.0
Female,B.COM,Commerce,Entrepreneurship,"Accounting Skills, Cost Accounting, Excel, Writing",67.45,0,No,0,Unemployed/Student,Masters in Accounting,67.45
Male,B.COM,Commerce,Take risk for Profits,Accounting Skills,77.0,1,Yes,0,Business Analyst,Masters in Accounting,77.0
Male,B.M.S,Managementãš,Sales/Marketing,"Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Market Study, Excel, Writing, Reading, Sales",0.0,0,No,1,Sr. Territory Sales Manager,None,0.0
Male,B.TECH,Computer Science Engineering,Machine Learning,Java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in Java ;design and prototype in Adobe XD ;hTML; CSS;JavaScript for web developers; responsive web design,84.55,1,Java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in Java ;design and prototype in Adobe XD ;hTML; CSS;JavaScript for web developers; responsive web design,1,Full Stack Developer,None,84.55
Male,BALLB,Law,Social Justice;Social causes,Civil & Criminal Law,74.1,1,Certified Fraud Examiner (CFE),1,Lawyer-Forensic Investigations,None,74.1
Female,B.SC,Zoology,Understand human body;Data analytics;Data scientist,Programming Language skills;Artistic/Creative Skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python,72.0,1,Certification course in data science by CareerEX,0,Unemployed/Student,None,72.0
Male,B.TECH,Mechanical Engineering,Supply Chain Analysis;Content Writing;Data analytics,Accounting Skills;Active Listening;Programming Language skills;Gathering Information;Wealth Management;Content creation,53.0,0,No,1,Assistent Manger,Assistent Manger,53.0
Female,B.SC,Computer Science Engineering,"Understand Human Behaviour, Understand Human Body","Active Listening, Critical Thinking, SQL, Leadership, Editing, Creativity Skills, Team work, Excel, Logical Skills, Problem Solving skills, Designing Skills",83.0,0,No,0,Unemployed/Student,Masters in Computer Applications,83.0
Female,BE,Electronics And Communication Engineering,Data analytics,Data Visualization skills( Power Bi/ Tableau );R;Python;SQL;MATLAB,80.0,1,Data science and tableau certification,0,Unemployed/Student,None,80.0
Male,LAW HONS,Constitution,Social Justice,Civil & Criminal Law,73.0,0,No,1,Litigation,None,73.0
Male,B.TECH,Civil Engineering,Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS",83.41,1,STAAD-Pro,1,Civil & Structural Engineer,None,83.41
Female,BCA,"Principal Of Programming Language With C, Ms Office Management Tools, Computer Organization, Mathematics, English.",Web Designing;Data analytics;Web development;Information Technology,Active Listening;Programming Language skills;Gathering Information;Artistic/Creative Skills;Communication skills;Leadership;Problem Solving skills;Writing skills;Programming Language C,85.5,0,No,0,Unemployed/Student,None,85.5
Female,MCA,Computer Science,Research;Technology;Data analytics;Data scientist;Web development,Active Listening;Programming Language skills;Gathering Information;C++;Java,69.0,1,Machine learning,0,Unemployed/Student,Masters In computer application,69.0
Female,B.SC,Microbiology,"Technology, Understand Human Body","Leadership, Team work, Presentation Skills, Writing, Observation Skills, Designing Skills",83.6,0,No,1,Unemployed/Student,Masters in Science,83.6
Male,B.TECH,Electrical And Electronics Engineering,"Sales/Marketing, Take risk for Profits, Teaching, Entrepreneurship","ML, SQL, Leadership, Writing, Tableau",60.8,1,Data science,0,Unemployed/Student,None,60.8
Male,B.SC,Computer Science Engineering,Technology;Data analytics,Active Listening;Programming Language skills;Communication skills;Machine Learning skills;Python,67.0,1,Data Science using Python and R Programming Languages,0,Unemployed/Student,Masters in Science,67.0
